Gender, Age, Job, Zodiac, AvgPostLength, AvgWordLength, AvgPostFrequency, NumURL, NumInternetWords, NumAdjectives, Num_the, Num_i, Num_and, Num_him, Num_of 
female, 37, indUnk, Leo, 355.846154, 4.015625, 2.769231, 0.052083, 0.000000, 0.027778, 0.022569, 0.029514, 0.046007, 0.032118, 0.018229 
female, 17, Student, Libra, 648.479896, 3.846606, 0.811933, 0.064734, 0.000200, 0.034767, 0.022673, 0.055347, 0.046823, 0.071119, 0.012733 
male, 23, Arts, Capricorn, 294.711538, 4.151991, 0.000000, 0.044703, 0.000000, 0.032241, 0.043891, 0.025196, 0.053915, 0.028989, 0.019778 
female, 25, Arts, Cancer, 203.317647, 3.809125, 1.082353, 0.043200, 0.000000, 0.016090, 0.043421, 0.029976, 0.052898, 0.038572, 0.019616 
male, 25, Engineering, Sagittarius, 967.500000, 4.695747, 4.700000, 0.030031, 0.000121, 0.035188, 0.059698, 0.006916, 0.058302, 0.007523, 0.025420 
male, 48, Religion, Libra, 360.190476, 5.149081, 18.619048, 0.021103, 0.000000, 0.047651, 0.034037, 0.004084, 0.040844, 0.004084, 0.012253 
female, 26, Architecture, Aries, 855.094340, 4.370299, 7.226415, 0.042237, 0.000482, 0.030858, 0.045323, 0.016972, 0.048987, 0.018611, 0.014368 
female, 16, Student, Pisces, 531.732759, 3.897447, 4.853448, 0.063250, 0.000442, 0.019398, 0.027802, 0.047327, 0.034753, 0.056995, 0.009794 
male, 25, indUnk, Cancer, 1210.375000, 3.857769, 2.625000, 0.062151, 0.000000, 0.021514, 0.052590, 0.052590, 0.056175, 0.060956, 0.017530 
female, 27, Technology, Virgo, 665.615385, 4.000462, 8.538462, 0.070735, 0.000000, 0.037448, 0.044383, 0.055479, 0.040222, 0.065187, 0.011096 
female, 25, indUnk, Libra, 1796.214815, 4.135603, 2.318519, 0.048871, 0.000060, 0.033649, 0.044880, 0.035815, 0.057040, 0.044615, 0.018871 
female, 17, indUnk, Scorpio, 760.142857, 3.876867, 2.085034, 0.056449, 0.000069, 0.021147, 0.031434, 0.043889, 0.052632, 0.053986, 0.011935 
male, 17, RealEstate, Virgo, 1115.580078, 3.968657, 1.214844, 0.053383, 0.000090, 0.028738, 0.032399, 0.041356, 0.052654, 0.049172, 0.014459 
female, 23, indUnk, Pisces, 1526.016260, 4.323490, 0.593496, 0.044571, 0.000461, 0.031142, 0.051297, 0.022251, 0.051665, 0.027088, 0.022665 
male, 34, Technology, Virgo, 762.748705, 4.321078, 1.601036, 0.037410, 0.000308, 0.032978, 0.045717, 0.016467, 0.050634, 0.020943, 0.023761 
male, 41, Publishing, Sagittarius, 126.064516, 4.113684, 1.000000, 0.071579, 0.001053, 0.024211, 0.033684, 0.016842, 0.053684, 0.023158, 0.013684 
male, 26, Publishing, Libra, 1112.049587, 4.401852, 2.574380, 0.038340, 0.000082, 0.042822, 0.054075, 0.015375, 0.057968, 0.018221, 0.024355 
female, 24, Communications-Media, Leo, 352.000000, 3.744681, 0.000000, 0.058511, 0.000000, 0.026596, 0.015957, 0.053191, 0.039894, 0.061170, 0.002660 
